Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ax,Ay,Az,RollR,PitchR,YawR,PitchPos,RollPos
1.76,0,0,0,0,474,2223,1888,1918,0.039999999,-0.100000002,-0.150000006,0,0,0,179.6699982,-0.939999998
1.77,0,0,0,0,474,2226,1888,1906,0,-0.059999999,0.319999993,0,0,0,179.6699982,-0.939999998
1.78,0,0,0,0,474,2229,1888,1914,-0.050000001,0.119999997,0.219999999,0,0,0,179.6699982,-0.939999998
1.79,0,0,0,0,474,2229,1888,1910,-0.02,0.039999999,-0.310000002,0,0,0,179.6699982,-0.939999998
1.8,0,0,0,0,474,2226,1888,1911,0.059999999,-0.059999999,-0.140000001,0,0,0,179.6699982,-0.939999998
1.81,0,0,0,0,474,2226,1888,1922,0.029999999,-0.090000004,0.340000004,0,0,0,179.6699982,-0.939999998
1.82,0,0,0,0,474,2231,1888,1912,-0.039999999,0.100000002,0.159999996,0,0,0,179.6699982,-0.939999998
1.83,0,0,0,0,474,2231,1888,1926,-0.01,0.02,-0.360000014,0,0,0,179.6699982,-0.939999998
1.84,0,0,0,0,474,2222,1888,1919,0.059999999,-0.129999995,-0.180000007,0,0,0,179.6699982,-0.939999998
1.85,0,0,0,0,474,2227,1888,1919,0.029999999,-0.079999998,0.340000004,0,0,0,179.6699982,-0.930000007
1.86,0,0,0,0,474,2223,1888,1916,-0.050000001,0.090000004,0.119999997,0,0,0,179.6699982,-0.939999998
1.87,0,0,0,0,474,2227,1888,1908,-0.029999999,0.02,-0.389999986,0,0,0,179.6699982,-0.939999998
1.88,0,0,0,0,474,2230,1888,1917,0.039999999,-0.109999999,-0.100000002,0,0,0,179.6699982,-0.930000007
1.89,0,0,0,0,474,2225,1888,1913,0,-0.050000001,0.370000005,0,0,0,179.6699982,-0.930000007
1.9,0,0,0,0,474,2230,1888,1914,-0.059999999,0.119999997,0.140000001,0,0,0,179.6699982,-0.939999998
1.91,0,0,0,0,474,2226,1888,1914,-0.01,0.050000001,-0.349999994,0,0,0,179.6699982,-0.939999998
1.92,0,0,0,0,475,2230,1888,1914,0.090000004,-0.109999999,-0.079999998,0,0,0,179.6699982,-0.930000007
1.93,0,0,0,0,474,2233,1888,1924,0.029999999,-0.079999998,0.379999995,0,0,0,179.6699982,-0.930000007
1.94,0,0,0,0,475,2222,1888,1919,-0.07,0.090000004,0.109999999,0,0,0,179.6699982,-0.930000007
1.95,0,0,0,0,474,2227,1888,1907,-0.07,0.090000004,0.109999999,0,0,0,179.6699982,-0.930000007
1.96,0,0,0,0,474,2220,1888,1920,0.059999999,-0.140000001,-0.039999999,0,0,0,179.6699982,-0.930000007
1.97,0,0,0,0,474,2226,1888,1908,0.02,-0.050000001,0.379999995,0,0,0,179.6699982,-0.930000007
1.98,0,0,0,0,475,2230,1888,1921,-0.039999999,0.100000002,0.109999999,0,0,0,179.6699982,-0.930000007
1.99,0,0,0,0,475,2226,1888,1926,0,0.01,-0.340000004,0,0,0,179.6699982,-0.939999998
2,0,0,0,0,474,2235,1888,1915,0.059999999,-0.129999995,-0.039999999,0,0,0,179.6699982,-0.930000007
2.01,0,0,0,0,474,2227,1888,1926,0,-0.029999999,0.370000005,0,0,0,179.6699982,-0.930000007
2.02,0,0,0,0,475,2235,1888,1914,-0.07,0.100000002,0.059999999,0,0,0,179.6699982,-0.939999998
2.03,0,0,0,0,474,2230,1888,1926,0.02,0.01,-0.379999995,0,0,0,179.6699982,-0.939999998
2.04,0,0,0,0,475,2221,1888,1919,0.01,-0.02,0.389999986,0,0,0,179.6699982,-0.939999998
2.05,0,0,0,0,475,2226,1888,1919,0.01,-0.02,0.389999986,0,0,0,179.6699982,-0.930000007
2.06,0,0,0,0,475,2221,1887,1919,-0.059999999,0.079999998,0.01,0,0,0,179.6699982,-0.939999998
2.07,0,0,0,0,475,2229,1888,1911,0,-0.01,-0.349999994,0,0,0,179.6699982,-0.939999998
2.08,0,0,0,0,475,2233,1887,1921,0.050000001,-0.119999997,-0.029999999,0,0,0,179.6699982,-0.930000007
2.09,0,0,0,0,475,2226,1887,1915,0,-0.01,0.340000004,0,0,0,179.6699982,-0.930000007
2.1,0,0,0,0,475,2233,1888,1914,-0.079999998,0.100000002,-0.029999999,0,0,0,179.6699982,-0.939999998
2.11,0,0,0,0,474,2226,1888,1926,0,-0.01,-0.389999986,0,0,0,179.6699982,-0.939999998
2.12,0,0,0,0,475,2234,1888,1914,0.01,-0.109999999,0.02,0,0,0,179.6699982,-0.930000007
2.13,0,0,0,0,475,2233,1887,1926,0,0,0.419999987,0,0,0,179.6699982,-0.930000007
2.14,0,0,0,0,475,2219,1888,1909,-0.029999999,0.129999995,0.01,0,0,0,179.6699982,-0.939999998
2.15,0,0,0,0,475,2230,1887,1920,0.029999999,-0.01,-0.370000005,0,0,0,179.6699982,-0.939999998
2.16,0,0,0,0,475,2221,1887,1921,0.07,-0.100000002,0.039999999,0,0,0,179.6699982,-0.930000007
2.17,0,0,0,0,475,2232,1887,1910,0,-0.029999999,0.389999986,0,0,0,179.6699982,-0.930000007
2.18,0,0,0,0,475,2222,1887,1919,-0.029999999,0.119999997,-0.079999998,0,0,0,179.6699982,-0.939999998
2.19,0,0,0,0,475,2227,1888,1916,0,-0.01,-0.370000005,0,0,0,179.6699982,-0.939999998
2.2,0,0,0,0,475,2238,1887,1915,0.039999999,-0.090000004,0.050000001,0,0,0,179.6699982,-0.930000007
2.21,0,0,0,0,475,2227,1888,1924,0,-0.01,0.379999995,0,0,0,179.6699982,-0.930000007
2.22,0,0,0,0,475,2237,1888,1917,-0.050000001,0.119999997,-0.059999999,0,0,0,179.6699982,-0.939999998
2.23,0,0,0,0,475,2227,1888,1925,0.01,-0.02,-0.360000014,0,0,0,179.6699982,-0.939999998
2.24,0,0,0,0,475,2223,1888,1913,0.039999999,-0.109999999,0.079999998,0,0,0,179.6699982,-0.939999998
2.25,0,0,0,0,475,2233,1887,1919,-0.029999999,0,0.419999987,0,0,0,179.6600037,-0.939999998
2.26,0,0,0,0,475,2224,1888,1919,-0.050000001,0.140000001,-0.050000001,0,0,0,179.6600037,-0.939999998
2.27,0,0,0,0,475,2234,1887,1919,0.02,-0.02,-0.389999986,0,0,0,179.6699982,-0.939999998
2.28,0,0,0,0,475,2222,1888,1917,0.02,-0.07,0.039999999,0,0,0,179.6600037,-0.939999998
2.29,0,0,0,0,475,2227,1888,1917,-0.050000001,-0.01,0.370000005,0,0,0,179.6600037,-0.939999998
2.3,0,0,0,0,475,2238,1887,1918,-0.07,0.109999999,-0.109999999,0,0,0,179.6699982,-0.939999998
